OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
120185,312792,AA89264,-6.08861373,-36.70019721,Santana do Matos
120186,312793,AB05060,-6.08563332,-36.6965425,Santana do Matos
120187,312794,AB05055,-6.0862746,-36.69730241,Santana do Matos
120188,312795,AB0504X,-6.08768346,-36.69907544,Santana do Matos
120189,312796,AB05034,-6.08819825,-36.69970869,Santana do Matos
120255,312864,AC3526X,-6.09464676,-36.70055744,Santana do Matos
120256,312865,AB05118,-6.09405872,-36.7006109,Santana do Matos
120257,312867,AC31443,-6.0802739,-36.69994247,Santana do Matos
120258,312868,AC32028,-6.08004606,-36.70126154,Santana do Matos
120259,312869,AC31438,-6.08044715,-36.69886733,Santana do Matos
120260,312870,AC31422,-6.0732921,-36.69166498,Santana do Matos
120261,312871,AB0927X,-6.07252172,-36.69283876,Santana do Matos
120262,312872,R84746,-6.07456998,-36.6897418,Santana do Matos
120263,312873,AA78928,-6.07392648,-36.69073502,Santana do Matos
120264,312874,AB09264,-6.07142507,-36.69450914,Santana do Matos
120265,312875,AB09259,-6.07070002,-36.69560164,Santana do Matos
120266,312879,AB05029,-6.08816094,-36.70058521,Santana do Matos
120267,312880,AA89259,-6.08816914,-36.70124492,Santana do Matos
120268,312881,AB05008,-6.08830931,-36.70477851,Santana do Matos
120269,312882,AA93726,-6.08839833,-36.70589015,Santana do Matos
120271,312884,AB00874,-6.10785091,-36.68126201,Santana do Matos
120272,312885,AB00869,-6.10738034,-36.68141505,Santana do Matos
120273,312886,AB00848,-6.10595068,-36.68175667,Santana do Matos
120274,312887,AB00853,-6.107588,-36.68173162,Santana do Matos
120275,312888,AB00832,-6.10552382,-36.68312074,Santana do Matos
120276,312889,AA30006,-6.10515139,-36.68435837,Santana do Matos
120277,312890,AA93731,-6.08847822,-36.70706505,Santana do Matos
120278,312891,AA89243,-6.08825733,-36.70300722,Santana do Matos
120279,312892,AB05076,-6.09012194,-36.70207883,Santana do Matos
120280,312893,AA29996,-6.10476073,-36.68569537,Santana do Matos
120281,312894,AA29980,-6.10421574,-36.687475,Santana do Matos
120282,312895,AA29975,-6.10385223,-36.688803,Santana do Matos
120283,312896,AA2996X,-6.10362523,-36.68948049,Santana do Matos
120313,312929,AA72748,-6.08919083,-36.7223744,Santana do Matos
120314,312930,AA72732,-6.08922584,-36.72326005,Santana do Matos
120315,312931,AA72727,-6.08926986,-36.72416379,Santana do Matos
120316,312932,AA72596,-6.08929582,-36.72504944,Santana do Matos
120402,313028,AC34989,-6.08255317,-36.70714771,Santana do Matos
120403,313029,AA9391X,-6.08223296,-36.70993061,Santana do Matos
120404,313030,AA93878,-6.08307758,-36.70733816,Santana do Matos
120405,313031,AC35055,-6.08845922,-36.70776086,Santana do Matos
120406,313034,AA93862,-6.08448827,-36.70767436,Santana do Matos
120408,313037,AA72580,-6.08937557,-36.72629663,Santana do Matos
120414,313046,AA93883,-6.08861062,-36.7095865,Santana do Matos
120415,313047,AA93904,-6.08876132,-36.71194532,Santana do Matos
120416,313048,AA72837,-6.08880267,-36.71490946,Santana do Matos
120417,313049,AA93899,-6.08869016,-36.71102347,Santana do Matos
120418,313050,AA72601,-6.08974848,-36.7247699,Santana do Matos
120419,313051,AA72622,-6.09019212,-36.72446324,Santana do Matos
120448,313091,AA72858,-6.08894489,-36.71681642,Santana do Matos
120449,313092,AA72821,-6.08899711,-36.71837986,Santana do Matos
120450,313093,AA72842,-6.08880188,-36.71551492,Santana do Matos
120451,313094,N51013,-6.0890228,-36.71947335,Santana do Matos
120452,313095,AA72753,-6.08912924,-36.72107301,Santana do Matos
122905,315804,AA78933,-6.10579365,-36.662453,Santana do Matos
122906,315805,AA78949,-6.10596611,-36.6619652,Santana do Matos
122907,315806,AB13087,-6.10615669,-36.66145935,Santana do Matos
122908,315807,AA78954,-6.10633819,-36.6609806,Santana do Matos
122909,315808,AA7896X,-6.10643319,-36.66042277,Santana do Matos
122910,315809,AB09290,-6.10682444,-36.66280672,Santana do Matos
122911,315810,AB09285,-6.10667916,-36.66324936,Santana do Matos
122912,315811,AB09306,-6.10699686,-36.66235506,Santana do Matos
122913,315812,AC35139,-6.10564842,-36.6628595,Santana do Matos
122941,315846,AB12984,-6.08324739,-36.69486763,Santana do Matos
122942,315847,AB1299X,-6.08298691,-36.69439685,Santana do Matos
122943,315848,AA78907,-6.08293037,-36.69519255,Santana do Matos
122944,315849,AA78912,-6.08346553,-36.69404556,Santana do Matos
122945,315850,AB13003,-6.08263459,-36.69405037,Santana do Matos
122946,315851,AB13024,-6.08530074,-36.69488833,Santana do Matos
122947,315852,AA96617,-6.0810376,-36.69692518,Santana do Matos
122948,315853,AA96601,-6.0810293,-36.69634682,Santana do Matos
122949,315854,AB09128,-6.08028706,-36.69672541,Santana do Matos
122950,315855,AA99073,-6.08233071,-36.6972612,Santana do Matos
122951,315856,AA99089,-6.08280995,-36.69740641,Santana do Matos
122952,315857,AA99094,-6.08294496,-36.69793975,Santana do Matos
122953,315858,AA9910X,-6.08305298,-36.69834654,Santana do Matos
122954,315859,AB09201,-6.06940491,-36.69683799,Santana do Matos
122955,315860,AB09217,-6.0690523,-36.69670199,Santana do Matos
122956,315861,AB09222,-6.06882583,-36.69695473,Santana do Matos
122987,315894,AB05123,-6.09412273,-36.70006877,Santana do Matos
122988,315895,AB05102,-6.09385935,-36.70089079,Santana do Matos
122989,315896,AB05139,-6.09415021,-36.69980673,Santana do Matos
122990,315897,AB05144,-6.09422325,-36.69928268,Santana do Matos
122991,315898,AB0515X,-6.09427809,-36.69883994,Santana do Matos
122993,315902,AA93768,-6.08994232,-36.70807005,Santana do Matos
122994,315903,AA93773,-6.09002314,-36.708522,Santana do Matos
122995,315904,AA93789,-6.09014012,-36.70899207,Santana do Matos
122996,315905,AA93794,-6.09023011,-36.70935366,Santana do Matos
122997,315906,AA9380X,-6.09067353,-36.70920965,Santana do Matos
122998,315907,AA93815,-6.0910174,-36.70911069,Santana do Matos
123001,315910,AC31511,-6.08208281,-36.70713806,Santana do Matos
123002,315911,AC31532,-6.08173002,-36.70714663,Santana do Matos
123003,315912,AA93925,-6.08205135,-36.71046354,Santana do Matos
123004,315913,AA72769,-6.08868606,-36.72102724,Santana do Matos
123005,315914,AA72774,-6.08819764,-36.72099044,Santana do Matos
123006,315915,AA7278X,-6.08777254,-36.72095373,Santana do Matos
123007,315916,AA72795,-6.08732931,-36.72095314,Santana do Matos
123008,315917,AA72800,-6.08694041,-36.7208984,Santana do Matos
123033,315942,AA72690,-6.08889743,-36.72533808,Santana do Matos
123034,315943,AA72706,-6.08848082,-36.72571707,Santana do Matos
123035,315944,AA72711,-6.08809142,-36.72605091,Santana do Matos
123036,315945,AA72638,-6.09073451,-36.72472603,Santana do Matos
123037,315946,AA72643,-6.09124979,-36.72497071,Santana do Matos
123303,316220,PY08993,-6.07780311,-36.61882578,Santana do Matos
123304,316221,PY08994,-6.07742283,-36.61875463,Santana do Matos
123305,316222,PY08996,-6.07669962,-36.61858912,Santana do Matos
123306,316223,R61345,-6.07711645,-36.61959417,Santana do Matos
123307,316224,PY08998,-6.07738647,-36.61914115,Santana do Matos
123308,316225,PY08997,-6.07791102,-36.61924115,Santana do Matos
123309,316226,PY08992,-6.0780201,-36.61877136,Santana do Matos
204281,651598,U62307,-5.95667289,-36.65343376,Santana do Matos
204282,651599,BB68336,-5.95637697,-36.65333721,Santana do Matos
204283,651600,BB68378,-5.95693784,-36.65352412,Santana do Matos
204284,651601,BB68446,-5.95739875,-36.6536727,Santana do Matos
204285,651603,GD5564,-5.95726216,-36.65348255,Santana do Matos
204286,651604,BB68404,-5.95706362,-36.65382429,Santana do Matos
204287,651605,BB68158,-5.95256653,-36.65203301,Santana do Matos
204288,651606,BB84227,-5.9521814,-36.65190481,Santana do Matos
204289,651607,BB68163,-5.95290266,-36.6521487,Santana do Matos
204290,651608,BB68179,-5.95328018,-36.65228198,Santana do Matos
204291,651609,BB68184,-5.95362636,-36.65239267,Santana do Matos
204292,651610,BB6819X,-5.95400514,-36.65252344,Santana do Matos
204293,651611,R63566,-5.95439396,-36.65265423,Santana do Matos
204294,651612,BB68247,-5.95472131,-36.65276991,Santana do Matos
204295,651613,BB68252,-5.9550173,-36.65287427,Santana do Matos
204296,651614,BB68289,-5.95536723,-36.65299499,Santana do Matos
204297,651615,BB68294,-5.95566826,-36.65309435,Santana do Matos
204298,651616,BB68320,-5.95607112,-36.65322798,Santana do Matos
204299,651617,BB68598,-5.95780737,-36.65234507,Santana do Matos
204300,651618,BB68603,-5.95771964,-36.65259193,Santana do Matos
204301,651619,BB68619,-5.95758043,-36.65292643,Santana do Matos
204302,651620,BB68624,-5.95742641,-36.65323003,Santana do Matos
204303,651621,BB84253,-5.95183781,-36.65177792,Santana do Matos
204304,651622,BB84269,-5.95151048,-36.65166822,Santana do Matos
204305,651623,BB84295,-5.95111951,-36.65154571,Santana do Matos
204306,651630,BB66936,-5.94875441,-36.65073533,Santana do Matos
204307,651631,BB8450X,-5.9487449,-36.65113285,Santana do Matos
204308,651632,BB66962,-5.94838865,-36.650607,Santana do Matos
204309,651633,BB66983,-5.94804625,-36.65049256,Santana do Matos
204310,651634,BB67002,-5.94772892,-36.65038943,Santana do Matos
204311,651635,BB67023,-5.94735727,-36.65025772,Santana do Matos
204312,651636,BB6705X,-5.9470115,-36.65013796,Santana do Matos
204313,651637,BB67065,-5.94665663,-36.65001915,Santana do Matos
204314,651638,BB67107,-5.94620451,-36.64986504,Santana do Matos
204315,651639,BB97985,-5.94557914,-36.64965882,Santana do Matos
204316,651640,GD4177,-5.94613582,-36.65002665,Santana do Matos
204317,651641,BB84316,-5.95081185,-36.65143569,Santana do Matos
204318,651642,T36185,-5.95047194,-36.6513225,Santana do Matos
204319,651643,BB84358,-5.95016926,-36.65124766,Santana do Matos
204320,651644,BB84379,-5.94992133,-36.65113764,Santana do Matos
204321,651645,BB84426,-5.94957893,-36.65101693,Santana do Matos
204322,651646,BB84452,-5.94933311,-36.65093477,Santana do Matos
204323,651647,BB84473,-5.94908498,-36.65085086,Santana do Matos
204324,651648,BB98643,-5.89224193,-36.59667484,Santana do Matos
204325,651649,BB98659,-5.89057868,-36.59554385,Santana do Matos
204326,651650,BB98664,-5.88906006,-36.5945124,Santana do Matos
204327,651651,PY01799,-5.88800238,-36.59385181,Santana do Matos
204328,651652,PY18669,-5.89213507,-36.59507574,Santana do Matos
204329,651653,BB98690,-5.8927859,-36.59552812,Santana do Matos
204330,651654,BB98706,-5.89338243,-36.59599851,Santana do Matos
204331,651655,BB98711,-5.89382525,-36.5964055,Santana do Matos
204332,651656,T35737,-5.89409828,-36.59484294,Santana do Matos
204333,651657,BB98727,-5.89437651,-36.59691198,Santana do Matos
204334,651658,BB98732,-5.89537964,-36.59782547,Santana do Matos
204335,651659,U52877,-5.89639205,-36.59874758,Santana do Matos
204336,651660,BB98753,-5.8974582,-36.59969769,Santana do Matos
204337,651661,PY07002,-5.89866016,-36.60077401,Santana do Matos
204338,651662,BB9878X,-5.89481409,-36.59373253,Santana do Matos
204339,651663,BB98795,-5.89537591,-36.59281167,Santana do Matos
204340,651665,BB98554,-5.88943767,-36.6051636,Santana do Matos
204341,651668,R59688,-5.89251521,-36.60905575,Santana do Matos
204342,651669,BB96274,-5.91354789,-36.55887134,Santana do Matos
204343,651670,BB96269,-5.9135401,-36.55760655,Santana do Matos
204344,651671,BB9628X,-5.91355558,-36.56022648,Santana do Matos
204345,651672,BB96295,-5.91352615,-36.56251211,Santana do Matos
204346,651673,BB96300,-5.91355231,-36.56348783,Santana do Matos
204347,651674,BB96316,-5.91355119,-36.56459904,Santana do Matos
204348,651675,BB96321,-5.91355007,-36.56571024,Santana do Matos
204349,651676,BF37174,-5.86095401,-36.4699755,Santana do Matos
204350,651677,L31866,-5.86051857,-36.47143855,Santana do Matos
204351,651678,BF3718X,-5.86134422,-36.46849434,Santana do Matos
204352,651679,BF37195,-5.86179773,-36.46704936,Santana do Matos
204353,651680,BF37200,-5.86225124,-36.46558631,Santana do Matos
204354,651681,BF37216,-5.86286616,-36.46585782,Santana do Matos
204355,651682,BF37221,-5.86472901,-36.46664527,Santana do Matos
204356,651683,BF37237,-5.86254162,-36.4644935,Santana do Matos
204357,651684,GD5435,-5.94956867,-36.6520853,Santana do Matos
204358,651685,BB67683,-5.94944578,-36.65247015,Santana do Matos
204359,651686,BB67636,-5.94970856,-36.65174895,Santana do Matos
204360,651687,BB67657,-5.94982943,-36.65139945,Santana do Matos
204361,651688,BB67746,-5.94931955,-36.6528806,Santana do Matos
204362,651689,BB67840,-5.94920602,-36.65318101,Santana do Matos
204363,651690,BB67835,-5.94909925,-36.65348098,Santana do Matos
204364,651691,U64488,-5.88574832,-36.61476617,Santana do Matos
204365,651692,BB99427,-5.8849489,-36.61534876,Santana do Matos
204366,651693,U62367,-5.88384546,-36.61622514,Santana do Matos
204367,651694,L22153,-5.88289375,-36.6169274,Santana do Matos
204368,651695,BB99453,-5.88188877,-36.61773933,Santana do Matos
204369,651696,BB99469,-5.88084763,-36.61852411,Santana do Matos
204370,651697,BB99474,-5.87989693,-36.61932706,Santana do Matos
204371,651698,BB9948X,-5.87867479,-36.6201839,Santana do Matos
204372,651699,BC00772,-5.87752497,-36.62108599,Santana do Matos
204373,651701,PY12796,-5.89242704,-36.60962048,Santana do Matos
204374,651702,U62265,-5.89165635,-36.61026085,Santana do Matos
204375,651703,U62365,-5.89052742,-36.61107495,Santana do Matos
204376,651704,BC00767,-5.87671921,-36.62169938,Santana do Matos
204377,651705,BB96337,-5.91354913,-36.56663173,Santana do Matos
204378,651706,PY01274,-5.91340417,-36.56685744,Santana do Matos
204379,651707,BB96358,-5.9127699,-36.56789573,Santana do Matos
204380,651708,L26016,-5.91218998,-36.5688618,Santana do Matos
204381,651709,BB96379,-5.91105805,-36.57002606,Santana do Matos
204382,651710,BB96384,-5.91005284,-36.57111816,Santana do Matos
204383,651711,BB9639X,-5.90876688,-36.57251714,Santana do Matos
204384,651712,PY01273,-5.90793541,-36.5717755,Santana do Matos
204385,651713,BB96426,-5.9074538,-36.57390705,Santana do Matos
204386,651714,PY08344,-5.90681986,-36.57461106,Santana do Matos
204387,651715,BB96447,-5.90595911,-36.57596529,Santana do Matos
204388,651716,BB96452,-5.90498055,-36.57751815,Santana do Matos
204389,651717,BB96468,-5.90389546,-36.57710146,Santana do Matos
204390,651718,BB96473,-5.90297317,-36.57672109,Santana do Matos
204391,651719,PY08343,-5.90401088,-36.57921555,Santana do Matos
204392,651720,BB9650X,-5.90276061,-36.5810843,Santana do Matos
204393,651721,BB99385,-5.88947564,-36.61186668,Santana do Matos
204394,651722,PY17778,-5.88833491,-36.61273268,Santana do Matos
204395,651723,BB99406,-5.8870583,-36.6137792,Santana do Matos
204396,651724,BB96515,-5.90219882,-36.58198711,Santana do Matos
204397,651725,BB96520,-5.90132894,-36.58340455,Santana do Matos
204398,651726,BB96536,-5.90015109,-36.58521012,Santana do Matos
204399,651727,BB96541,-5.89954397,-36.58620322,Santana do Matos
204400,651728,PY08342,-5.89878287,-36.5873949,Santana do Matos
204401,651729,BB96578,-5.89809418,-36.58854149,Santana do Matos
204402,651730,BB9856X,-5.88992727,-36.60411621,Santana do Matos
204403,651731,T34289,-5.8903717,-36.6030236,Santana do Matos
204404,651732,BB98580,-5.89091574,-36.60182269,Santana do Matos
204405,651733,PY18668,-5.89106992,-36.60144344,Santana do Matos
204406,651734,BB98601,-5.89155962,-36.6003057,Santana do Matos
204407,651735,BB98617,-5.89197678,-36.59932146,Santana do Matos
204408,651736,BB98622,-5.89242113,-36.59829208,Santana do Matos
204409,651737,BB98638,-5.89291086,-36.59711821,Santana do Matos
204410,651738,BF37242,-5.86316771,-36.46217241,Santana do Matos
204411,651739,BF37258,-5.86383011,-36.45968874,Santana do Matos
204412,651740,BF37263,-5.86446501,-36.45762962,Santana do Matos
204413,651741,BF37279,-5.86508181,-36.45557951,Santana do Matos
204414,651742,BF37284,-5.86551717,-36.45416159,Santana do Matos
204415,651743,BF3729X,-5.8661515,-36.452789,Santana do Matos
204416,651744,BF37305,-5.86698516,-36.45102813,Santana do Matos
204417,651745,BF37310,-5.86747447,-36.44999869,Santana do Matos
204418,651746,PY09366,-5.86823564,-36.44837325,Santana do Matos
204419,651747,BF37331,-5.86883374,-36.44704579,Santana do Matos
204420,651748,BF37347,-5.86934119,-36.44596216,Santana do Matos
204421,651749,BF37352,-5.86996638,-36.44467988,Santana do Matos
204422,651750,BF46330,-5.87217733,-36.43998411,Santana do Matos
