OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
304436,877954,DB05037,-6.17121093,-37.7155737,Almino Afonso
304437,877955,DB05021,-6.17083996,-37.71564478,Almino Afonso
304438,877956,DB05042,-6.17150944,-37.71553852,Almino Afonso
304439,877957,DB04489,-6.1356112,-37.71839562,Almino Afonso
304440,877958,DB0450X,-6.13514901,-37.71871937,Almino Afonso
304441,877959,DB04536,-6.13589018,-37.71881208,Almino Afonso
304442,877960,DB04494,-6.13496031,-37.71834836,Almino Afonso
304443,877961,DB04515,-6.1347253,-37.71943023,Almino Afonso
304444,877962,DB04520,-6.13462093,-37.71984694,Almino Afonso
304445,877963,DB04541,-6.13630682,-37.7185966,Almino Afonso
304446,877964,DB04557,-6.13620518,-37.71927383,Almino Afonso
304447,877965,DB04562,-6.13652018,-37.71973558,Almino Afonso
304448,877966,DB04578,-6.13684427,-37.7201793,Almino Afonso
304449,877967,DB04583,-6.13709583,-37.72068602,Almino Afonso
304450,877968,DB04599,-6.1373744,-37.72122896,Almino Afonso
304482,878000,DB62273,-6.17547658,-37.73465091,Almino Afonso
304483,878001,DB62289,-6.17517616,-37.73413279,Almino Afonso
304484,878002,DB62184,-6.17611122,-37.73806802,Almino Afonso
304485,878003,DB62179,-6.17554092,-37.73826493,Almino Afonso
304486,878004,DB62231,-6.17723,-37.73605692,Almino Afonso
304487,878005,DB62247,-6.17669733,-37.73580221,Almino Afonso
304488,878006,DB62252,-6.17623703,-37.73553871,Almino Afonso
304489,878007,DB62268,-6.17586921,-37.73509128,Almino Afonso
304612,878638,CF75430,-6.15652538,-37.76296612,Almino Afonso
304613,878639,CF75467,-6.15648476,-37.7643121,Almino Afonso
304614,878640,M52195,-6.15646388,-37.7655033,Almino Afonso
304615,878641,CF75514,-6.15622294,-37.76692214,Almino Afonso
304616,878642,CF75535,-6.15612142,-37.76754516,Almino Afonso
304617,878643,CF75556,-6.15546357,-37.7696028,Almino Afonso
304618,878644,CF75561,-6.15511563,-37.77091161,Almino Afonso
304619,878645,CF75598,-6.15475038,-37.77198547,Almino Afonso
304620,878646,CF75619,-6.15443872,-37.77325826,Almino Afonso
304621,878655,CF75713,-6.14664217,-37.7721834,Almino Afonso
304622,878656,L31243,-6.14575398,-37.77184727,Almino Afonso
304623,878657,L31213,-6.14448948,-37.77142752,Almino Afonso
304624,878673,DF0592X,-6.15689312,-37.76185597,Almino Afonso
304625,878674,DC51347,-6.15686377,-37.76187137,Almino Afonso
304626,878675,DC51352,-6.1565259,-37.76213635,Almino Afonso
304627,878679,CF75928,-6.12317016,-37.77358845,Almino Afonso
304628,878683,CF7596X,-6.11846571,-37.77253585,Almino Afonso
304629,878693,L15143,-6.1119799,-37.77469162,Almino Afonso
304630,878697,CF7611X,-6.11264378,-37.77675159,Almino Afonso
304631,878698,T43539,-6.11253643,-37.77725026,Almino Afonso
304632,878702,CF76209,-6.11276158,-37.77940782,Almino Afonso
